text,target,clean_txt,Message_Length,Word_Count,Avg_Word,Unique_Words,Stopwords,#_Count
I immediately said I wanted to talk to the manager but I did not want to talk to the guy who was doing shots of fireball behind the bar.,0,immediately said wanted talk manager want talk guy shots fireball behind bar,136,29,3.7241379310344827,22,17,0
They also now serve Indian naan bread with hummus and some spicy pine nut sauce that was out of this world.,1,also serve indian naan bread hummus spicy pine nut sauce world,107,21,4.142857142857143,21,10,0
"I'd rather eat airline food, seriously.",0,id rather eat airline food seriously,39,6,5.666666666666667,6,1,0
Service was good and the company was better!,1,service good company better,44,8,4.625,7,4,0
I don't have to be an accountant to know I'm getting screwed!,0,accountant know getting screwed,61,12,4.166666666666667,11,8,0
"REAL sushi lovers, let's be honest - Yama is not that good.",0,real sushi lovers lets honest  yama good,59,12,4.0,12,5,0
We loved the biscuits!!!,1,loved biscuits,24,4,5.25,4,2,0
"The food, amazing.",1,food amazing,18,3,5.333333333333333,3,1,0
We also ordered the spinach and avocado salad; the ingredients were sad and the dressing literally had zero taste.,0,also ordered spinach avocado salad ingredients sad dressing literally zero taste,114,19,5.052631578947368,16,9,0
The tables outside are also dirty a lot of the time and the workers are not always friendly and helpful with the menu.,0,tables outside also dirty lot time workers always friendly helpful menu,118,23,4.173913043478261,19,13,0
"i felt insulted and disrespected, how could you talk and judge another human being like that?",0,felt insulted disrespected could talk judge another human like,93,16,4.875,15,8,0
This place is horrible and way overpriced.,0,place horrible way overpriced,42,7,5.142857142857143,7,3,0
The server was very negligent of our needs and made us feel very unwelcome... I would not suggest this place!,0,server negligent needs made us feel unwelcome would suggest place,109,20,4.5,19,11,0
The service was meh.,0,service meh,20,4,4.25,4,2,0
Very Very Disappointed ordered the $35 Big Bay Plater.,0,disappointed ordered  big bay plater,54,9,5.111111111111111,9,3,0
Waitress was good though!,1,waitress good though,25,4,5.5,4,1,0
Worst Thai ever.,0,worst thai ever,16,3,4.666666666666667,3,0,0
"I'm so happy to be here!!!""",1,happy,27,6,3.6666666666666665,6,4,0
The staff was very attentive.,1,staff attentive,29,5,5.0,5,3,0
So we went to Tigerlilly and had a fantastic afternoon!,1,went tigerlilly fantastic afternoon,55,10,4.6,10,6,0
Service was very prompt.,1,service prompt,24,4,5.25,4,2,0
I was VERY disappointed!!,0,disappointed,25,4,5.5,4,3,0
Overall I was not impressed and would not go back.,0,overall impressed would go back,50,10,4.1,9,6,0
Del Taco is pretty nasty and should be avoided if possible.,0,del taco pretty nasty avoided possible,59,11,4.454545454545454,11,5,0
"It's like a really sexy party in your mouth, where you're outrageously flirting with the hottest person at the party.",1,like really sexy party mouth youre outrageously flirting hottest person party,117,20,4.9,19,11,0
Don't bother coming here.,0,bother coming,25,4,5.5,4,1,0
"As for the ""mains,"" also uninspired.",0,mains also uninspired,36,6,5.166666666666667,6,4,0
Food is way overpriced and portions are fucking small.,0,food way overpriced portions fucking small,54,9,5.111111111111111,9,3,0
Overpriced for what you are getting.,0,overpriced getting,36,6,5.166666666666667,6,4,0
very tough and very short on flavor!,0,tough short flavor,36,7,4.285714285714286,7,4,0
Good prices.,1,good prices,12,2,5.5,2,0,0
This is a good joint.,1,good joint,21,5,3.4,5,3,0
Waited and waited and waited.,0,waited waited waited,29,5,5.0,4,2,0
"It lacked flavor, seemed undercooked, and dry.",0,lacked flavor seemed undercooked dry,46,7,5.714285714285714,7,2,0
"Of all the dishes, the salmon was the best, but all were great.",1,dishes salmon best great,63,13,3.923076923076923,10,9,0
"Give it a try, you will be happy you did.",1,give try happy,41,10,3.2,9,5,0
The cow tongue and cheek tacos are amazing.,1,cow tongue cheek tacos amazing,43,8,4.5,8,3,0
"Back to good BBQ, lighter fare, reasonable pricing and tell the public they are back to the old ways.",1,back good bbq lighter fare reasonable pricing tell public back old ways,101,19,4.368421052631579,17,7,0
AN HOUR... seriously?,0,hour seriously,21,3,6.333333333333333,3,1,0
The worst was the salmon sashimi.,0,worst salmon sashimi,33,6,4.666666666666667,6,3,0
Def coming back to bowl next time,1,def coming back bowl next time,33,7,3.857142857142857,7,1,0
Will not be back!,0,back,17,4,3.5,4,2,0
Great food and great service in a clean and friendly setting.,1,great food great service clean friendly setting,61,11,4.636363636363637,10,4,0
The staff are also very friendly and efficient.,1,staff also friendly efficient,47,8,5.0,8,5,0
The menu had so much good stuff on it i could not decide!,1,menu much good stuff could decide,57,13,3.4615384615384617,13,8,0
The manager was the worst.,0,manager worst,26,5,4.4,5,3,0
It is worth the drive.,1,worth drive,22,5,3.6,5,3,0
I love the decor with the Chinese calligraphy wall paper.,1,love decor chinese calligraphy wall paper,57,10,4.8,9,4,0
"I kept looking at the time and it had soon become 35 minutes, yet still no food.",0,kept looking time soon become  minutes yet still food,80,17,3.764705882352941,17,7,0
"It was so bad, I had lost the heart to finish it.",0,bad lost heart finish,49,12,3.1666666666666665,12,7,0
I checked out this place a couple years ago and was not impressed.,0,checked place couple years ago impressed,66,13,4.153846153846154,13,7,0
I'm probably one of the few people to ever go to Ians and not like it.,0,probably one people ever go ians like,70,16,3.4375,15,10,0
I as well would've given godfathers zero stars if possible.,0,well wouldve given godfathers zero stars possible,59,10,5.0,10,3,0
The management is rude.,0,management rude,23,4,5.0,4,2,0
Some may say this buffet is pricey but I think you get what you pay for and this place you are getting quite a lot!,1,may say buffet pricey think get pay place getting quite lot,115,25,3.64,22,15,0
I waited and waited.,0,waited waited,20,4,4.25,4,2,0
"If the food isn't bad enough for you, then enjoy dealing with the world's worst/annoying drunk people.",0,food isnt bad enough enjoy dealing worlds worstannoying drunk people,102,17,5.0588235294117645,16,7,0
"The descriptions said ""yum yum sauce"" and another said ""eel sauce"", yet another said ""spicy mayo""...well NONE of the rolls had sauces on them.",0,descriptions said yum yum sauce another said eel sauce yet another said spicy mayowell none rolls sauces,142,24,4.958333333333333,21,6,0
Nargile - I think you are great.,1,nargile  think great,32,7,3.7142857142857144,7,3,0
Sooooo good!!,1,sooooo good,13,2,6.0,2,0,0
Im in AZ all the time and now have my new spot.,1,az time new spot,47,12,3.0,12,6,0
"The dining space is tiny, but elegantly decorated and comfortable.",1,dining space tiny elegantly decorated comfortable,66,10,5.7,10,4,0
Delicious and I will absolutely be back!,1,delicious absolutely back,40,7,4.857142857142857,7,3,0
I would not recommend this place.,0,would recommend place,33,6,4.666666666666667,6,4,0
"The food was great as always, compliments to the chef.",1,food great always compliments chef,54,10,4.5,10,5,0
Went for lunch - service was slow.,0,went lunch  service slow,34,7,4.0,7,2,0
Food was really good and I got full petty fast.,1,food really good got full petty fast,47,10,3.8,10,3,0
I'm not impressed with the concept or the food.,0,impressed concept food,47,9,4.333333333333333,8,6,0
The waitress and manager are so friendly.,1,waitress manager friendly,41,7,5.0,7,4,0
If she had not rolled the eyes we may have stayed... Not sure if we will go back and try it again.,0,rolled eyes may stayed sure go back try,98,22,3.5,21,12,0
"Best service and food ever, Maria our server was so good and friendly she made our day.",1,best service food ever maria server good friendly made day,87,17,4.176470588235294,15,7,0
Before I go in to why I gave a 1 star rating please know that this was my third time eating at Bachi burger before writing a review.,0,go gave  star rating please know third time eating bachi burger writing review,132,28,3.75,26,14,0
"Great steak, great sides, great wine, amazing desserts.",1,great steak great sides great wine amazing desserts,55,8,6.0,7,0,0
But I definitely would not eat here again.,0,definitely would eat,42,8,4.375,8,5,0
They really want to make your experience a good one.,1,really want make experience good one,52,10,4.3,10,4,0
The chicken was deliciously seasoned and had the perfect fry on the outside and moist chicken on the inside.,1,chicken deliciously seasoned perfect fry outside moist chicken inside,108,19,4.7368421052631575,14,10,0
"I love the owner/chef, his one authentic Japanese cool dude!",1,love ownerchef one authentic japanese cool dude,60,10,5.1,10,3,0
I don't think I'll be running back to Carly's anytime soon for food.,0,think ill running back carlys anytime soon food,68,13,4.3076923076923075,13,6,0
The grilled chicken was so tender and yellow from the saffron seasoning.,1,grilled chicken tender yellow saffron seasoning,72,12,5.083333333333333,12,6,0
I really enjoyed Crema Café before they expanded; I even told friends they had the BEST breakfast.,1,really enjoyed crema café expanded even told friends best breakfast,98,17,4.823529411764706,16,7,0
"not even a ""hello, we will be right with you.""",0,even hello right,46,10,3.7,10,5,0
"I have been to very few places to eat that under no circumstances would I ever return to, and this tops the list.",0,places eat circumstances would ever return tops list,113,23,3.9565217391304346,22,16,0
"Very convenient, since we were staying at the MGM!",1,convenient since staying mgm,50,9,4.666666666666667,9,6,0
I will not be eating there again.,0,eating,33,7,3.857142857142857,7,4,0
How awesome is that.,1,awesome,20,4,4.25,4,2,0
This is the place where I first had pho and it was amazing!!,1,place first pho amazing,60,13,3.6923076923076925,13,9,0
The ambience is wonderful and there is music playing.,1,ambience wonderful music playing,53,9,5.0,8,5,0
"Overall, I don't think that I would take my parents to this place again because they made most of the similar complaints that I silently felt too.",0,overall think would take parents place made similar complaints silently felt,146,27,4.444444444444445,24,16,0
"I was proven dead wrong by this sushi bar, not only because the quality is great, but the service is fast and the food, impeccable.",1,proven dead wrong sushi bar quality great service fast food impeccable,131,25,4.28,22,14,0
"In an interesting part of town, this place is amazing.",1,interesting part town place amazing,54,10,4.5,10,5,0
"The deal included 5 tastings and 2 drinks, and Jeff went above and beyond what we expected.",1,deal included  tastings  drinks jeff went beyond expected,91,17,4.411764705882353,15,7,0
I *heart* this place.,1,heart place,21,4,4.5,4,2,0
This place should honestly be blown up.,0,place honestly blown,39,7,4.714285714285714,7,3,0
"The servers went back and forth several times, not even so much as an ""Are you being helped?""",0,servers went back forth several times even much helped,93,18,4.222222222222222,18,8,0
Google mediocre and I imagine Smashburger will pop up.,0,google mediocre imagine smashburger pop,54,9,5.111111111111111,9,2,0
"If you want healthy authentic or ethic food, try this place.",1,want healthy authentic ethic food try place,60,11,4.545454545454546,11,4,0
What a mistake that was!,0,mistake,24,5,4.0,5,3,0
I was mortified.,0,mortified,16,3,4.666666666666667,3,2,0
Everything was gross.,0,everything gross,21,3,6.333333333333333,3,1,0
It was a huge awkward 1.5lb piece of cow that was 3/4ths gristle and fat.,0,huge awkward  piece cow  gristle fat,73,15,3.933333333333333,14,7,0
Last night was my second time dining here and I was so happy I decided to go back!,1,last night second time dining happy decided go back,82,18,3.611111111111111,16,9,0
"The staff is super nice and very quick even with the crazy crowds of the downtown juries, lawyers, and court staff.",1,staff super nice quick even crazy crowds downtown juries lawyers court staff,115,21,4.523809523809524,19,9,0
All of the tapas dishes were delicious!,1,tapas dishes delicious,39,7,4.714285714285714,7,4,0
This place was such a nice surprise!,1,place nice surprise,36,7,4.285714285714286,7,4,0
Kind of hard to mess up a steak but they did.,0,kind hard mess steak,45,11,3.1818181818181817,11,6,0
First - the bathrooms at this location were dirty- Seat covers were not replenished & just plain yucky!!!,0,first  bathrooms location dirty seat covers replenished  plain yucky,105,18,4.888888888888889,17,7,0
Some highlights : Great quality nigiri here!,1,highlights  great quality nigiri,44,7,5.428571428571429,7,1,0
"We had so much to say about the place before we walked in that he expected it to be amazing, but was quickly disappointed.",0,much say place walked expected amazing quickly disappointed,122,24,4.125,23,16,0
We've have gotten a much better service from the pizza place next door than the services we received from this restaurant.,0,weve gotten much better service pizza place next door services received restaurant,122,21,4.857142857142857,19,10,0
"It's close to my house, it's low-key, non-fancy, affordable prices, good food.",1,close house lowkey nonfancy affordable prices good food,78,12,5.583333333333333,12,4,0
The refried beans that came with my meal were dried out and crusty and the food was bland.,0,refried beans came meal dried crusty food bland,90,18,4.055555555555555,17,10,0
I had a seriously solid breakfast here.,1,seriously solid breakfast,39,7,4.714285714285714,7,3,0
I had the chicken Pho and it tasted very bland.,0,chicken pho tasted bland,47,10,3.8,10,6,0
We ordered the duck rare and it was pink and tender on the inside with a nice char on the outside.,1,ordered duck rare pink tender inside nice char outside,98,21,3.7142857142857144,17,12,0
Now this dish was quite flavourful.,1,dish quite flavourful,35,6,5.0,6,2,0
And the chef was generous with his time (even came around twice so we can take pictures with him).,1,chef generous time even came around twice take pictures,98,19,4.2105263157894735,18,9,0
It was not good.,0,good,16,4,3.25,4,3,0
Over rated.,0,rated,11,2,5.0,2,1,0
Food was so gooodd.,1,food gooodd,19,4,4.0,4,2,0
Great place to relax and have an awesome burger and beer.,1,great place relax awesome burger beer,57,11,4.2727272727272725,10,5,0
This place has it!,1,place,18,4,3.75,4,2,0
It was a pale color instead of nice and char and has NO flavor.,0,pale color instead nice char flavor,63,14,3.5714285714285716,13,8,0
Left very frustrated.,0,left frustrated,21,3,6.333333333333333,3,1,0
This place receives stars for their APPETIZERS!!!,1,place receives stars appetizers,49,7,6.142857142857143,7,3,0
"The menu is always changing, food quality is going down & service is extremely slow.",0,menu always changing food quality going  service extremely slow,84,15,4.666666666666667,13,5,0
This one is simply a disappointment.,0,one simply disappointment,36,6,5.166666666666667,6,3,0
"Their menu is diverse, and reasonably priced.",1,menu diverse reasonably priced,45,7,5.571428571428571,7,3,0
"The ripped banana was not only ripped, but petrified and tasteless.",0,ripped banana ripped petrified tasteless,67,11,5.181818181818182,11,6,0
"Will never, ever go back.",0,never ever go back,25,5,4.2,5,1,0
Stopped by during the late May bank holiday off Rick Steve recommendation and loved it.,1,stopped late may bank holiday rick steve recommendation loved,87,15,4.866666666666666,15,5,0
"That said, our mouths and bellies were still quite pleased.",1,said mouths bellies still quite pleased,59,10,5.0,10,4,0
Their frozen margaritas are WAY too sugary for my taste.,0,frozen margaritas way sugary taste,56,10,4.7,10,5,0
The place was not clean and the food oh so stale!,0,place clean food oh stale,49,11,3.5454545454545454,11,6,0
"Although I very much liked the look and sound of this place, the actual experience was a bit disappointing.",0,although much liked look sound place actual experience bit disappointing,107,19,4.684210526315789,18,9,0
"If that bug never showed up I would have given a 4 for sure, but on the other side of the wall where this bug was climbing was the kitchen.",0,bug never showed would given  sure side wall bug climbing kitchen,139,30,3.6666666666666665,26,19,0
Thoroughly disappointed!,0,thoroughly disappointed,24,2,11.5,2,0,0
The pizza selections are good.,1,pizza selections good,30,5,5.2,5,2,0
"Needless to say, we will never be back here again.",0,needless say never back,50,10,4.1,10,4,0
"The service was not up to par, either.",0,service par either,38,8,3.875,8,5,0
When I received my Pita it was huge it did have a lot of meat in it so thumbs up there.,1,received pita huge lot meat thumbs,87,21,3.1904761904761907,19,14,0
"Definitely worth venturing off the strip for the pork belly, will return next time I'm in Vegas.",1,definitely worth venturing strip pork belly return next time vegas,96,17,4.705882352941177,16,6,0
I had the mac salad and it was pretty bland so I will not be getting that again.,0,mac salad pretty bland getting,80,18,3.5,18,11,0
"A greasy, unhealthy meal.",0,greasy unhealthy meal,25,4,5.5,4,1,0
walked in and the place smelled like an old grease trap and only 2 others there eating.,0,walked place smelled like old grease trap  others eating,87,17,4.176470588235294,16,8,0
The block was amazing.,1,block amazing,22,4,4.75,4,2,0
Eew... This location needs a complete overhaul.,0,eew location needs complete overhaul,47,7,5.857142857142857,7,2,0
This was my first and only Vegas buffet and it did not disappoint.,1,first vegas buffet disappoint,66,13,4.153846153846154,12,9,0
"Not a weekly haunt, but definitely a place to come back to every once in a while.",1,weekly haunt definitely place come back every,81,17,3.823529411764706,14,9,0
The chips and sals a here is amazing!!!!!!!!!!!!!!!!!!!,1,chips sals amazing,55,8,6.0,8,5,0
Hell no will I go back,0,hell go back,22,6,2.8333333333333335,6,2,0
Food was delicious!,1,food delicious,19,3,5.666666666666667,3,1,0
"At least 40min passed in between us ordering and the food arriving, and it wasn't that busy.",0,least  passed us ordering food arriving wasnt busy,92,17,4.470588235294118,16,9,0
"Needless to say, I won't be going back anytime soon.",0,needless say wont going back anytime soon,52,10,4.3,10,4,0
